dataPlatform,schema,dataset,class,field,sqlDataType,sourceDataType,sourceEntityType,sourceNullable,definedBy,description,ordinalPosition,pii,attributeOf,classification,pk,V1
dataverseSource,main,accounts,accounts,preferredappointmentdaycodename,12,Virtual,Column,TRUE,STRING,,190,TRUE,preferredappointmentdaycode,NAME,,
dataverseSource,main,accounts,accounts,preferredappointmenttimecode,4,Picklist,Column,TRUE,INTEGER,Select the preferred time of day for service appointments.,191,,,,,
dataverseSource,main,accounts,accounts,preferredappointmenttimecodename,12,Virtual,Column,TRUE,STRING,,192,TRUE,preferredappointmenttimecode,NAME,,
dataverseSource,main,accounts,accounts,preferredcontactmethodcode,4,Picklist,Column,TRUE,INTEGER,Select the preferred method of contact.,193,,,,,
dataverseSource,main,accounts,accounts,preferredcontactmethodcodename,12,Virtual,Column,TRUE,STRING,,194,TRUE,preferredcontactmethodcode,NAME,,
dataverseSource,main,accounts,accounts,preferredequipmentid,12,Lookup,Column,TRUE,STRING,Choose the account's preferred service facility or equipment to make sure services are scheduled correctly for the customer.,195,,,,,
dataverseSource,main,accounts,accounts,preferredequipmentidname,12,String,Column,FALSE,STRING,,196,TRUE,preferredequipmentid,NAME,,
dataverseSource,main,accounts,accounts,preferredserviceid,12,Lookup,Column,TRUE,STRING,Choose the account's preferred service for reference when you schedule service activities.,197,,,,,
dataverseSource,main,accounts,accounts,preferredserviceidname,12,String,Column,FALSE,STRING,,198,TRUE,preferredserviceid,NAME,,
dataverseSource,main,accounts,accounts,preferredsystemuserid,12,Lookup,Column,TRUE,STRING,Choose the preferred service representative for reference when you schedule service activities for the account.,199,,,,,
dataverseSource,main,accounts,accounts,preferredsystemuseridname,12,String,Column,TRUE,STRING,,200,TRUE,preferredsystemuserid,NAME,,
dataverseSource,main,accounts,accounts,preferredsystemuseridyominame,12,String,Column,TRUE,STRING,,201,TRUE,preferredsystemuserid,NAME,,
dataverseSource,main,accounts,accounts,primarycontactid,12,Lookup,Column,TRUE,STRING,Choose the primary contact for the account to provide quick access to contact details.,202,,,,,
dataverseSource,main,accounts,accounts,primarycontactidname,12,String,Column,TRUE,STRING,,203,TRUE,primarycontactid,NAME,,
dataverseSource,main,accounts,accounts,primarycontactidyominame,12,String,Column,TRUE,STRING,,204,TRUE,primarycontactid,NAME,,
dataverseSource,main,accounts,accounts,primarysatoriid,12,String,Column,TRUE,STRING,Primary Satori ID for Account,205,,,,,
dataverseSource,main,accounts,accounts,primarytwitterid,12,String,Column,TRUE,STRING,Primary Twitter ID for Account,206,,,,,
dataverseSource,main,accounts,accounts,processid,1,Uniqueidentifier,Column,TRUE,STRING,Shows the ID of the process.,207,,,,,
dataverseSource,main,accounts,accounts,revenue,3,Money,Column,TRUE,REAL,"Type the annual revenue for the account, used as an indicator in financial performance analysis.",208,,,,,
dataverseSource,main,accounts,accounts,revenue_base,3,Money,Column,TRUE,REAL,Shows the annual revenue converted to the system's default base currency. The calculations use the exchange rate specified in the Currencies area.,209,,,,,
dataverseSource,main,accounts,accounts,sharesoutstanding,4,Integer,Column,TRUE,INTEGER,Type the number of shares available to the public for the account. This number is used as an indicator in financial performance analysis.,210,,,,,
dataverseSource,main,accounts,accounts,shippingmethodcode,4,Picklist,Column,TRUE,INTEGER,Select a shipping method for deliveries sent to the account's address to designate the preferred carrier or other delivery option.,211,,,,,
dataverseSource,main,accounts,accounts,shippingmethodcodename,12,Virtual,Column,TRUE,STRING,,212,TRUE,shippingmethodcode,NAME,,
dataverseSource,main,accounts,accounts,sic,12,String,Column,TRUE,STRING,"Type the Standard Industrial Classification (SIC) code that indicates the account's primary industry of business, for use in marketing segmentation and demographic analysis.",213,,,,,
dataverseSource,main,accounts,accounts,slaid,12,Lookup,Column,TRUE,STRING,Choose the service level agreement (SLA) that you want to apply to the Account record.,214,,,,,
dataverseSource,main,accounts,accounts,slainvokedid,12,Lookup,Column,TRUE,STRING,Last SLA that was applied to this case. This field is for internal use only.,215,,,,,
dataverseSource,main,accounts,accounts,slainvokedidname,12,String,Column,TRUE,STRING,,216,TRUE,slainvokedid,NAME,,
dataverseSource,main,accounts,accounts,slaname,12,String,Column,TRUE,STRING,,217,TRUE,slaid,NAME,,
dataverseSource,main,accounts,accounts,stageid,1,Uniqueidentifier,Column,TRUE,STRING,Shows the ID of the stage.,218,,,,,
dataverseSource,main,accounts,accounts,statecode,4,State,Column,FALSE,INTEGER,Shows whether the account is active or inactive. Inactive accounts are read-only and can't be edited unless they are reactivated.,219,,,STATE,,
dataverseSource,main,accounts,accounts,statecodename,12,Virtual,Column,TRUE,STRING,,220,TRUE,statecode,STATE,,
dataverseSource,main,accounts,accounts,statuscode,4,Status,Column,TRUE,INTEGER,Select the account's status.,221,,,,,
dataverseSource,main,accounts,accounts,statuscodename,12,Virtual,Column,TRUE,STRING,,222,TRUE,statuscode,NAME,,
dataverseSource,main,accounts,accounts,stockexchange,12,String,Column,TRUE,STRING,Type the stock exchange at which the account is listed to track their stock and financial performance of the company.,223,,,,,
dataverseSource,main,accounts,accounts,teamsfollowed,4,Integer,Column,TRUE,INTEGER,Number of users or conversations followed the record,224,,,,,
dataverseSource,main,accounts,accounts,telephone1,12,String,Column,TRUE,STRING,Type the main phone number for this account.,225,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,telephone2,12,String,Column,TRUE,STRING,Type a second phone number for this account.,226,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,telephone3,12,String,Column,TRUE,STRING,Type a third phone number for this account.,227,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,territorycode,4,Picklist,Column,TRUE,INTEGER,Select a region or territory for the account for use in segmentation and analysis.,228,,,,,
dataverseSource,main,accounts,accounts,territorycodename,12,Virtual,Column,TRUE,STRING,,229,TRUE,territorycode,NAME,,
dataverseSource,main,accounts,accounts,territoryid,12,Lookup,Column,TRUE,STRING,Choose the sales region or territory for the account to make sure the account is assigned to the correct representative and for use in segmentation and analysis.,230,,,,,
dataverseSource,main,accounts,accounts,territoryidname,12,String,Column,FALSE,STRING,,231,TRUE,territoryid,NAME,,
dataverseSource,main,accounts,accounts,tickersymbol,12,String,Column,TRUE,STRING,Type the stock exchange symbol for the account to track financial performance of the company. You can click the code entered in this field to access the latest trading information from MSN Money.,232,,,,,
dataverseSource,main,accounts,accounts,timespentbymeonemailandmeetings,12,String,Column,TRUE,STRING,Total time spent for emails (read and write) and meetings by me in relation to account record.,233,,,,,
dataverseSource,main,accounts,accounts,timezoneruleversionnumber,4,Integer,Column,TRUE,INTEGER,For internal use only.,234,,,,,
dataverseSource,main,accounts,accounts,transactioncurrencyid,12,Lookup,Column,TRUE,STRING,Choose the local currency for the record to make sure budgets are reported in the correct currency.,235,,,,,
dataverseSource,main,accounts,accounts,transactioncurrencyidname,12,String,Column,TRUE,STRING,,236,TRUE,transactioncurrencyid,NAME,,
dataverseSource,main,accounts,accounts,traversedpath,12,String,Column,TRUE,STRING,For internal use only.,237,,,,,
dataverseSource,main,accounts,accounts,utcconversiontimezonecode,4,Integer,Column,TRUE,INTEGER,Time zone code that was in use when the record was created.,238,,,,,
dataverseSource,main,accounts,accounts,versionnumber,-5,BigInt,Column,TRUE,INTEGER,Version number of the account.,239,,,,,
dataverseSource,main,accounts,accounts,websiteurl,12,String,Column,TRUE,STRING,Type the account's website URL to get quick details about the company profile.,240,,,,,
dataverseSource,main,accounts,accounts,yominame,12,String,Column,TRUE,STRING,"Type the phonetic spelling of the company name, if specified in Japanese, to make sure the name is pronounced correctly in phone calls and other communications.",241,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,accountid,12,Lookup,Column,TRUE,STRING,Unique identifier of the account with which the contact is associated.,0,,,,,
dataverseSource,main,contacts,contacts,accountidname,12,String,Column,TRUE,STRING,,1,TRUE,accountid,NAME,,
dataverseSource,main,contacts,contacts,accountidyominame,12,String,Column,TRUE,STRING,,2,TRUE,accountid,NAME,,
dataverseSource,main,contacts,contacts,accountrolecode,4,Picklist,Column,TRUE,INTEGER,"Select the contact's role within the company or sales process, such as decision maker, employee, or influencer.",3,,,,,
dataverseSource,main,contacts,contacts,accountrolecodename,12,Virtual,Column,TRUE,STRING,,4,TRUE,accountrolecode,NAME,,
dataverseSource,main,contacts,contacts,address1_addressid,1,Uniqueidentifier,Column,TRUE,STRING,Unique identifier for address 1.,5,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_addresstypecode,4,Picklist,Column,TRUE,INTEGER,Select the primary address type.,6,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_addresstypecodename,12,Virtual,Column,TRUE,STRING,,7,,address1_addresstypecode,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_city,12,String,Column,TRUE,STRING,Type the city for the primary address.,8,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_composite,12,Memo,Column,TRUE,STRING,Shows the complete primary address.,9,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_country,12,String,Column,TRUE,STRING,Type the country or region for the primary address.,10,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_county,12,String,Column,TRUE,STRING,Type the county for the primary address.,11,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_fax,12,String,Column,TRUE,STRING,Type the fax number associated with the primary address.,12,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_freighttermscode,4,Picklist,Column,TRUE,INTEGER,Select the freight terms for the primary address to make sure shipping orders are processed correctly.,13,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_freighttermscodename,12,Virtual,Column,TRUE,STRING,,14,,address1_freighttermscode,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_latitude,8,Double,Column,TRUE,REAL,Type the latitude value for the primary address for use in mapping and other applications.,15,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_line1,12,String,Column,TRUE,STRING,Type the first line of the primary address.,16,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_line2,12,String,Column,TRUE,STRING,Type the second line of the primary address.,17,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_line3,12,String,Column,TRUE,STRING,Type the third line of the primary address.,18,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_longitude,8,Double,Column,TRUE,REAL,Type the longitude value for the primary address for use in mapping and other applications.,19,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_name,12,String,Column,TRUE,STRING,"Type a descriptive name for the primary address, such as Corporate Headquarters.",20,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_postalcode,12,String,Column,TRUE,STRING,Type the ZIP Code or postal code for the primary address.,21,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_postofficebox,12,String,Column,TRUE,STRING,Type the post office box number of the primary address.,22,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_primarycontactname,12,String,Column,TRUE,STRING,Type the name of the main contact at the account's primary address.,23,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_shippingmethodcode,4,Picklist,Column,TRUE,INTEGER,Select a shipping method for deliveries sent to this address.,24,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_shippingmethodcodename,12,Virtual,Column,TRUE,STRING,,25,,address1_shippingmethodcode,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_stateorprovince,12,String,Column,TRUE,STRING,Type the state or province of the primary address.,26,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_telephone1,12,String,Column,TRUE,STRING,Type the main phone number associated with the primary address.,27,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_telephone2,12,String,Column,TRUE,STRING,Type a second phone number associated with the primary address.,28,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_telephone3,12,String,Column,TRUE,STRING,Type a third phone number associated with the primary address.,29,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_upszone,12,String,Column,TRUE,STRING,"Type the UPS zone of the primary address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",30,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address1_utcoffset,12,Integer,Column,TRUE,STRING,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",31,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_addressid,1,Uniqueidentifier,Column,TRUE,STRING,Unique identifier for address 2.,32,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_addresstypecode,4,Picklist,Column,TRUE,INTEGER,Select the secondary address type.,33,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_addresstypecodename,12,Virtual,Column,TRUE,STRING,,34,,address2_addresstypecode,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_city,12,String,Column,TRUE,STRING,Type the city for the secondary address.,35,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_composite,12,Memo,Column,TRUE,STRING,Shows the complete secondary address.,36,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_country,12,String,Column,TRUE,STRING,Type the country or region for the secondary address.,37,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_county,12,String,Column,TRUE,STRING,Type the county for the secondary address.,38,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_fax,12,String,Column,TRUE,STRING,Type the fax number associated with the secondary address.,39,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_freighttermscode,4,Picklist,Column,TRUE,INTEGER,Select the freight terms for the secondary address to make sure shipping orders are processed correctly.,40,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_freighttermscodename,12,Virtual,Column,TRUE,STRING,,41,,address2_freighttermscode,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_latitude,8,Double,Column,TRUE,REAL,Type the latitude value for the secondary address for use in mapping and other applications.,42,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_line1,12,String,Column,TRUE,STRING,Type the first line of the secondary address.,43,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_line2,12,String,Column,TRUE,STRING,Type the second line of the secondary address.,44,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_line3,12,String,Column,TRUE,STRING,Type the third line of the secondary address.,45,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_longitude,8,Double,Column,TRUE,REAL,Type the longitude value for the secondary address for use in mapping and other applications.,46,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_name,12,String,Column,TRUE,STRING,"Type a descriptive name for the secondary address, such as Corporate Headquarters.",47,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_postalcode,12,String,Column,TRUE,STRING,Type the ZIP Code or postal code for the secondary address.,48,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_postofficebox,12,String,Column,TRUE,STRING,Type the post office box number of the secondary address.,49,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_primarycontactname,12,String,Column,TRUE,STRING,Type the name of the main contact at the account's secondary address.,50,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_shippingmethodcode,4,Picklist,Column,TRUE,INTEGER,Select a shipping method for deliveries sent to this address.,51,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_shippingmethodcodename,12,Virtual,Column,TRUE,STRING,,52,,address2_shippingmethodcode,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_stateorprovince,12,String,Column,TRUE,STRING,Type the state or province of the secondary address.,53,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_telephone1,12,String,Column,TRUE,STRING,Type the main phone number associated with the secondary address.,54,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_telephone2,12,String,Column,TRUE,STRING,Type a second phone number associated with the secondary address.,55,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_telephone3,12,String,Column,TRUE,STRING,Type a third phone number associated with the secondary address.,56,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_upszone,12,String,Column,TRUE,STRING,"Type the UPS zone of the secondary address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",57,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address2_utcoffset,12,Integer,Column,TRUE,STRING,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",58,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_addressid,1,Uniqueidentifier,Column,TRUE,STRING,Unique identifier for address 3.,59,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_addresstypecode,4,Picklist,Column,TRUE,INTEGER,Select the third address type.,60,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_addresstypecodename,12,Virtual,Column,TRUE,STRING,,61,,address3_addresstypecode,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_city,12,String,Column,TRUE,STRING,Type the city for the 3rd address.,62,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_composite,12,Memo,Column,TRUE,STRING,Shows the complete third address.,63,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_country,12,String,Column,TRUE,STRING,the country or region for the 3rd address.,64,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_county,12,String,Column,TRUE,STRING,Type the county for the third address.,65,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_fax,12,String,Column,TRUE,STRING,Type the fax number associated with the third address.,66,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_freighttermscode,4,Picklist,Column,TRUE,INTEGER,Select the freight terms for the third address to make sure shipping orders are processed correctly.,67,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_freighttermscodename,12,Virtual,Column,TRUE,STRING,,68,,address3_freighttermscode,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_latitude,8,Double,Column,TRUE,REAL,Type the latitude value for the third address for use in mapping and other applications.,69,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_line1,12,String,Column,TRUE,STRING,the first line of the 3rd address.,70,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_line2,12,String,Column,TRUE,STRING,the second line of the 3rd address.,71,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_line3,12,String,Column,TRUE,STRING,the third line of the 3rd address.,72,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_longitude,8,Double,Column,TRUE,REAL,Type the longitude value for the third address for use in mapping and other applications.,73,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_name,12,String,Column,TRUE,STRING,"Type a descriptive name for the third address, such as Corporate Headquarters.",74,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_postalcode,12,String,Column,TRUE,STRING,the ZIP Code or postal code for the 3rd address.,75,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_postofficebox,12,String,Column,TRUE,STRING,the post office box number of the 3rd address.,76,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_primarycontactname,12,String,Column,TRUE,STRING,Type the name of the main contact at the account's third address.,77,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_shippingmethodcode,4,Picklist,Column,TRUE,INTEGER,Select a shipping method for deliveries sent to this address.,78,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_shippingmethodcodename,12,Virtual,Column,TRUE,STRING,,79,,address3_shippingmethodcode,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_stateorprovince,12,String,Column,TRUE,STRING,the state or province of the third address.,80,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_telephone1,12,String,Column,TRUE,STRING,Type the main phone number associated with the third address.,81,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_telephone2,12,String,Column,TRUE,STRING,Type a second phone number associated with the third address.,82,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_telephone3,12,String,Column,TRUE,STRING,Type a third phone number associated with the primary address.,83,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_upszone,12,String,Column,TRUE,STRING,"Type the UPS zone of the third address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",84,,,ADDRESS,,
dataverseSource,main,contacts,contacts,address3_utcoffset,12,Integer,Column,TRUE,STRING,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",85,,,ADDRESS,,
dataverseSource,main,contacts,contacts,adx_confirmremovepassword,16,Boolean,Column,TRUE,BOOLEAN,,86,,,,,
dataverseSource,main,contacts,contacts,adx_confirmremovepasswordname,12,Virtual,Column,TRUE,STRING,,87,TRUE,adx_confirmremovepassword,NAME,,
dataverseSource,main,contacts,contacts,adx_createdbyipaddress,12,String,Column,TRUE,STRING,,88,,,ADDRESS,,
dataverseSource,main,contacts,contacts,adx_createdbyusername,12,String,Column,TRUE,STRING,,89,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,adx_identity_accessfailedcount,4,Integer,Column,TRUE,INTEGER,Shows the current count of failed password attempts for the contact.,90,,,,,
dataverseSource,main,contacts,contacts,adx_identity_emailaddress1confirmed,16,Boolean,Column,TRUE,BOOLEAN,Determines if the email is confirmed by the contact.,91,,,ADDRESS,,
dataverseSource,main,contacts,contacts,adx_identity_emailaddress1confirmedname,12,Virtual,Column,TRUE,STRING,,92,,adx_identity_emailaddress1confirmed,ADDRESS,,
dataverseSource,main,contacts,contacts,adx_identity_lastsuccessfullogin,93,DateTime,Column,TRUE,DATETIME,Indicates the last date and time the user successfully signed in to a portal.,93,,,,,
dataverseSource,main,contacts,contacts,adx_identity_locallogindisabled,16,Boolean,Column,TRUE,BOOLEAN,Indicates that the contact can no longer sign in to the portal using the local account.,94,,,,,
dataverseSource,main,contacts,contacts,adx_identity_locallogindisabledname,12,Virtual,Column,TRUE,STRING,,95,TRUE,adx_identity_locallogindisabled,NAME,,
dataverseSource,main,contacts,contacts,adx_identity_lockoutenabled,16,Boolean,Column,TRUE,BOOLEAN,"Determines if this contact will track failed access attempts and become locked after too many failed attempts. To prevent the contact from becoming locked, you can disable this setting.",96,,,,,
dataverseSource,main,contacts,contacts,adx_identity_lockoutenabledname,12,Virtual,Column,TRUE,STRING,,97,TRUE,adx_identity_lockoutenabled,NAME,,
dataverseSource,main,contacts,contacts,adx_identity_lockoutenddate,93,DateTime,Column,TRUE,DATETIME,Shows the moment in time when the locked contact becomes unlocked again.,98,,,,,
dataverseSource,main,contacts,contacts,adx_identity_logonenabled,16,Boolean,Column,TRUE,BOOLEAN,Determines if web authentication is enabled for the contact.,99,,,,,
dataverseSource,main,contacts,contacts,adx_identity_logonenabledname,12,Virtual,Column,TRUE,STRING,,100,TRUE,adx_identity_logonenabled,NAME,,
dataverseSource,main,contacts,contacts,adx_identity_mobilephoneconfirmed,16,Boolean,Column,TRUE,BOOLEAN,Determines if the phone number is confirmed by the contact.,101,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,contacts,contacts,adx_identity_mobilephoneconfirmedname,12,Virtual,Column,TRUE,STRING,,102,TRUE,adx_identity_mobilephoneconfirmed,TELEPHONE_NUMBER,,
dataverseSource,main,contacts,contacts,adx_identity_newpassword,12,String,Column,TRUE,STRING,,103,,,,,
dataverseSource,main,contacts,contacts,adx_identity_passwordhash,12,String,Column,TRUE,STRING,,104,,,,,
dataverseSource,main,contacts,contacts,adx_identity_securitystamp,12,String,Column,TRUE,STRING,A token used to manage the web authentication session.,105,,,,,
dataverseSource,main,contacts,contacts,adx_identity_twofactorenabled,16,Boolean,Column,TRUE,BOOLEAN,Determines if two-factor authentication is enabled for the contact.,106,,,,,
dataverseSource,main,contacts,contacts,adx_identity_twofactorenabledname,12,Virtual,Column,TRUE,STRING,,107,TRUE,adx_identity_twofactorenabled,NAME,,
dataverseSource,main,contacts,contacts,adx_identity_username,12,String,Column,TRUE,STRING,Shows the user identity for local web authentication.,108,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,adx_modifiedbyipaddress,12,String,Column,TRUE,STRING,,109,,,ADDRESS,,
dataverseSource,main,contacts,contacts,adx_modifiedbyusername,12,String,Column,TRUE,STRING,,110,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,adx_organizationname,12,String,Column,TRUE,STRING,,111,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,adx_preferredlcid,4,Integer,Column,TRUE,INTEGER,User’s preferred portal LCID,112,,,,,
dataverseSource,main,contacts,contacts,adx_profilealert,16,Boolean,Column,TRUE,BOOLEAN,,113,,,,,
dataverseSource,main,contacts,contacts,adx_profilealertdate,93,DateTime,Column,TRUE,DATETIME,,114,,,,,
dataverseSource,main,contacts,contacts,adx_profilealertinstructions,12,Memo,Column,TRUE,STRING,,115,,,,,
dataverseSource,main,contacts,contacts,adx_profilealertname,12,Virtual,Column,TRUE,STRING,,116,TRUE,adx_profilealert,NAME,,
dataverseSource,main,contacts,contacts,adx_profileisanonymous,16,Boolean,Column,TRUE,BOOLEAN,,117,,,,,
dataverseSource,main,contacts,contacts,adx_profileisanonymousname,12,Virtual,Column,TRUE,STRING,,118,TRUE,adx_profileisanonymous,NAME,,
dataverseSource,main,contacts,contacts,adx_profilelastactivity,93,DateTime,Column,TRUE,DATETIME,,119,,,,,
dataverseSource,main,contacts,contacts,adx_profilemodifiedon,93,DateTime,Column,TRUE,DATETIME,,120,,,,,
dataverseSource,main,contacts,contacts,adx_publicprofilecopy,12,Memo,Column,TRUE,STRING,,121,,,,,
dataverseSource,main,contacts,contacts,adx_timezone,12,Integer,Column,TRUE,STRING,,122,,,,,
dataverseSource,main,contacts,contacts,aging30,3,Money,Column,TRUE,REAL,For system use only.,123,,,,,
dataverseSource,main,contacts,contacts,aging30_base,3,Money,Column,TRUE,REAL,Shows the Aging 30 field converted to the system's default base currency. The calculations use the exchange rate specified in the Currencies area.,124,,,,,
dataverseSource,main,contacts,contacts,aging60,3,Money,Column,TRUE,REAL,For system use only.,125,,,,,
dataverseSource,main,contacts,contacts,aging60_base,3,Money,Column,TRUE,REAL,Shows the Aging 60 field converted to the system's default base currency. The calculations use the exchange rate specified in the Currencies area.,126,,,,,
dataverseSource,main,contacts,contacts,aging90,3,Money,Column,TRUE,REAL,For system use only.,127,,,,,
dataverseSource,main,contacts,contacts,aging90_base,3,Money,Column,TRUE,REAL,Shows the Aging 90 field converted to the system's default base currency. The calculations use the exchange rate specified in the Currencies area.,128,,,,,
dataverseSource,main,contacts,contacts,anniversary,91,DateTime,Column,TRUE,DATE,Enter the date of the contact's wedding or service anniversary for use in customer gift programs or other communications.,129,,,,,
dataverseSource,main,contacts,contacts,annualincome,3,Money,Column,TRUE,REAL,Type the contact's annual income for use in profiling and financial analysis.,130,,,,,
dataverseSource,main,contacts,contacts,annualincome_base,3,Money,Column,TRUE,REAL,Shows the Annual Income field converted to the system's default base currency. The calculations use the exchange rate specified in the Currencies area.,131,,,,,
dataverseSource,main,contacts,contacts,assistantname,12,String,Column,TRUE,STRING,Type the name of the contact's assistant.,132,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,assistantphone,12,String,Column,TRUE,STRING,Type the phone number for the contact's assistant.,133,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,contacts,contacts,birthdate,91,DateTime,Column,TRUE,DATE,Enter the contact's birthday for use in customer gift programs or other communications.,134,,,,,
dataverseSource,main,contacts,contacts,business2,12,String,Column,TRUE,STRING,Type a second business phone number for this contact.,135,,,,,
dataverseSource,main,contacts,contacts,businesscard,12,Memo,Column,TRUE,STRING,Stores Image of the Business Card,136,,,,,
dataverseSource,main,contacts,contacts,businesscardattributes,12,String,Column,TRUE,STRING,Stores Business Card Control Properties.,137,,,,,
dataverseSource,main,contacts,contacts,callback,12,String,Column,TRUE,STRING,Type a callback phone number for this contact.,138,,,,,
dataverseSource,main,contacts,contacts,childrensnames,12,String,Column,TRUE,STRING,Type the names of the contact's children for reference in communications and client programs.,139,TRUE,,NAME,,
dataverseSource,main,contacts,contacts,company,12,String,Column,TRUE,STRING,Type the company phone of the contact.,140,TRUE,,BUSINESS_NAME,,
